,index,user_id,post_time,tweet,hour
0,0,Malcolm Turnbull 💉💉,2021-10-21 00:45:35+00:00,At the risk of offering a penetrating glimpse of the obvious…an obligation to disclose gifts to MPs plainly requires the identify of the donor. Saying “I received a gift of an undisclosed sum from a secret donor.” is  not a disclosure and suggesting it could be is gaslighting.,0
1,1,Malcolm Turnbull 💉💉,2021-10-21 00:41:30+00:00,Address to the Smart Energy Global Race to Zero Summit 2021 https://t.co/Zh14FcDkcU via @turnbullmalcolm @SmartEnergyCncl @zalisteggall,0
2,2,Malcolm Turnbull 💉💉,2021-10-20 21:49:49+00:00,"RT @SmartEnergyCncl: NEWS: You can find @TurnbullMalcolm's powerful speech to #RacetoZeroSummit last night right here👇
https://t.co/E9hIqlc…",21
3,3,Malcolm Turnbull 💉💉,2021-10-20 20:40:05+00:00,"Thank you Fran! Mornings in Australia won’t be the same without you. You are a champion - rigorous, fair and always respectful. @RNBreakfast",20
4,4,Malcolm Turnbull 💉💉,2021-10-20 11:36:26+00:00,@NStottDespoja @UNHumanRights @UNWomenAust So good to see you there! Congratulations and good luck!,11
5,5,Malcolm Turnbull 💉💉,2021-10-20 11:05:24+00:00,RT @apaul57: Thank you @TurnbullMalcolm for your talk this evening. https://t.co/0F9es4OBWv we are heading for a disastrous 2.7°C warming b…,11
6,6,Malcolm Turnbull 💉💉,2021-10-20 07:40:38+00:00,"RT @SmartEnergyCncl: ""Carbon capture storage and blue hydrogen is a scam and a con and a proven failure. It is too complex and too expensiv…",7
7,7,Malcolm Turnbull 💉💉,2021-10-20 07:40:14+00:00,RT @SDHamiltonVIC: @TurnbullMalcolm @SmartEnergyCncl .@TurnbullMalcolm gives a sobering reminder of what dangerous #climatechange looks lik…,7
8,8,Malcolm Turnbull 💉💉,2021-10-20 07:40:03+00:00,"RT @RichieMerzian: You've got multiple Adani's opening up right next to me in the Hunter says @TurnbullMalcolm at the #RacetoZeroSummit 

W…",7
9,9,Malcolm Turnbull 💉💉,2021-10-20 07:39:54+00:00,RT @SDHamiltonVIC: @VickiTreadell @ukinaustralia #RenewableEnergy &amp; strengthening the grid is the answer to rising energy prices being seen…,7
10,10,Malcolm Turnbull 💉💉,2021-10-20 07:39:41+00:00,RT @SDHamiltonVIC: @VickiTreadell @ukinaustralia .@zalisteggall says ‘Australia is being held to ransom by a small minority’ at #RaceToZero…,7
11,11,Malcolm Turnbull 💉💉,2021-10-20 07:39:29+00:00,RT @SmartEnergyCncl: A real honour to have ⁦@FranTardioli⁩ at #RacetoZeroSummit. The Italian Government is hosting the G20 meeting in 10 da…,7
12,12,Malcolm Turnbull 💉💉,2021-10-20 07:39:04+00:00,RT @SmartEnergyCncl: Live with Restream https://t.co/CecdmfWKQh,7
13,13,Malcolm Turnbull 💉💉,2021-10-20 01:16:00+00:00,"RT @CNBCFuture: Australia could become 'roadkill' if it refuses to embrace renewables, says Australia's former prime minister @TurnbullMalc…",1
14,14,Malcolm Turnbull 💉💉,2021-10-19 22:53:42+00:00,"RT @SmartEnergyCncl: Australia's biggest climate &amp; energy event, Global #RacetoZeroSummit, starts 5pm Sydney time today.

☀️Former PM @Turn…",22
15,15,Malcolm Turnbull 💉💉,2021-10-19 21:25:36+00:00,"RT @GeorgeFreemanMP: We won’t cut, tax, or borrow our way out of debt. We need innovation-led growth.

Spot on from ⁦@WilliamJHague⁩ in ⁦@t…",21
16,16,Malcolm Turnbull 💉💉,2021-10-19 20:09:50+00:00,"RT @R4RXResilience: Together with the @Miller_Center, @HarvardChanSPH, and the @EUI_EU, we are delighted to host our forthcoming event, Vac…",20
17,17,Malcolm Turnbull 💉💉,2021-10-19 20:09:18+00:00,"RT @R4RXResilience: Among the speakers at our forthcoming #VaxAndBeyond event will be our founder, @GeorgeFreemanMP, UK Minister for Scienc…",20
18,18,Malcolm Turnbull 💉💉,2021-10-19 20:08:41+00:00,"RT @energynetworks: In #Glasgow for @COP26? Join @turnbullmalcolm, @farhanaclimate and @aazibelman for an evening panel discussion on how p…",20
19,19,Malcolm Turnbull 💉💉,2021-10-19 08:39:01+00:00,"RT @cnbcipr: Catch today's session in full here!

https://t.co/gDdSGlAmED",8
20,20,Malcolm Turnbull 💉💉,2021-10-19 06:50:55+00:00,"Just appeared on this with Richard Lancaster CEO of energy major CLP. 🙏 But before us we heard from Indonesia’s Finance Minister Sri Mulyani. She was so eloquent, frank &amp; well informed on all the complex climate issues. Not something you often hear in Canberra! Worth watching. https://t.co/DtZOlJltWa",6
21,21,Malcolm Turnbull 💉💉,2021-10-19 06:45:16+00:00,@gavinlmiller1 🙏,6
22,22,Malcolm Turnbull 💉💉,2021-10-19 05:29:35+00:00,"“From both professional and personal experience, however, I also know that, though the evolutionary concept of “nature knows best” might work for the species, it can be cruel to the individual.”  https://t.co/8MFZrVvZDj",5
23,23,Malcolm Turnbull 💉💉,2021-10-19 02:49:30+00:00,RT @ian_hickie: ‘Psychological injuries do not abate simply because health restrictions are eased’ https://t.co/ztDLSc9LT9 the need for men…,2
24,24,Malcolm Turnbull 💉💉,2021-10-19 02:49:22+00:00,RT @LSNSW_President: Professor @ian_hickie provided some ‘light bulb moments’ on mental health and wellbeing in a post COVID world @LawSoci…,2
25,25,Malcolm Turnbull 💉💉,2021-10-19 02:00:26+00:00,"RT @cnbcipr: ‘Future Power’ takes the spotlight for Day 2 at the #CNBCSustainableFuture Forum.

Former Aus. PM @TurnbullMalcolm, @Siemens_E…",2
26,26,Malcolm Turnbull 💉💉,2021-10-19 01:23:07+00:00,"RT @STForeignDesk: Australia must commit to carbon cuts to keep green energy advantage, mining magnate says https://t.co/uJZOVBA3G7",1
27,27,Malcolm Turnbull 💉💉,2021-10-18 22:49:20+00:00,‘Lead by example’: Former UN chief says Morrison must do more on climate https://t.co/5Qah1mMJB5,22
28,28,Malcolm Turnbull 💉💉,2021-10-18 22:19:09+00:00,"RT @dwabriz: “The old Australian Curse – to be the Lucky Country, as Donald Horne dubbed us with a slather of irony 57 years ago – is back.…",22
29,29,Malcolm Turnbull 💉💉,2021-10-18 21:38:51+00:00,"RT @climatecouncil: “We are looking really like a really hopeless, helpless laggard on climate” @TurnbullMalcolm, ""the planet's running out…",21
30,30,Malcolm Turnbull 💉💉,2021-10-18 20:46:14+00:00,@RNBreakfast And Keith never missed an opportunity to frustrate action on climate in my time. He wants more coal mining and more coal fired power stations both of which are utterly incompatible with reaching net zero.,20
31,31,Malcolm Turnbull 💉💉,2021-10-18 11:05:10+00:00,RT @davidwaskow: India set to update its 2030 NDC targets  https://t.co/PS9YB8uCXV,11
32,32,Malcolm Turnbull 💉💉,2021-10-18 09:43:32+00:00,RT @ian_hickie: 1/2 Great start to the  #MentalWealthInitiative today at @Sydney_Uni - led by @BrainMind_Usyd and @sydney_business @mscott…,9
33,33,Malcolm Turnbull 💉💉,2021-10-18 01:58:14+00:00,"RT @FortescueFuture: Our founder Dr Andrew Forrest AO, and CEO @JulieShuttlewth, recently welcomed @paulstarick  from @theTiser to explore…",1
34,34,Malcolm Turnbull 💉💉,2021-10-18 01:09:10+00:00,"RT @gabriellechan: ""We have to face the uncomfortable fact that the systematic partisan lying and misinformation from the media, both mains…",1
35,35,Malcolm Turnbull 💉💉,2021-10-18 01:06:46+00:00,@geeksrgood @margokingston1 I won’t argue with you about the state of the coalition on this issue but the 2015 targets were as set out at Paris. The intent of the agreement was and remains that these commitments would be increased every 5 years - hence the need for a step up now.,1
36,36,Malcolm Turnbull 💉💉,2021-10-17 23:13:21+00:00,"RT @HardieGrant: .@TurnbullMalcolm writes on Murdoch, lies and the climate crisis on @GuardianAus in an extract from the new forward of his…",23
37,37,Malcolm Turnbull 💉💉,2021-10-17 20:44:02+00:00,"Malcolm Turnbull on Murdoch, lies and the climate crisis: ‘The same forces that enabled Trump are at work in Australia’ https://t.co/XhYMz6o1Ah",20
38,38,Malcolm Turnbull 💉💉,2021-10-17 20:29:12+00:00,"“I wish our Australian partner, who made the choice for reasons of security – justified by the escalation of tensions with China – to the detriment of sovereignty, does not discover later that it has sacrificed both.” ⁦@JY_LeDrian⁩ #aukus #sousmarins https://t.co/YiaSecvCef",20
39,39,Malcolm Turnbull 💉💉,2021-10-17 18:55:31+00:00,"“One, he’s passionately committed to the energy transformation. Two, he’s got enormous financial resources. More than a few people can tick those boxes. But third he is the founder and chairman of a company that has engineering &amp; construction in its DNA.” https://t.co/8odo0vqT4x",18
40,40,Malcolm Turnbull 💉💉,2021-10-17 18:37:41+00:00,RT @damiencave: The iron and steel industry emits more carbon than all the world’s cars. Andrew Forrest wants to fix that and thinks he can…,18
41,41,Malcolm Turnbull 💉💉,2021-10-16 11:07:59+00:00,"RT @BellaKwai: For todays' @nytimes Sat profile, I followed Australian activist Chanel Contos who started 2021 as a student in London. A vi…",11
42,42,Malcolm Turnbull 💉💉,2021-10-16 05:39:45+00:00,RT @emfarrelly: Why would anyone think the last healthy and growing koala colony in the state was a good spot for thousands of new roof-to-…,5
43,43,Malcolm Turnbull 💉💉,2021-10-16 03:31:21+00:00,Kevin makes a powerful point. Net zero by 2050 is good. But it’s the bare minimum. The critical issue is to increase the 2030 cut. You cannot start getting to net zero in 2049. We need substantial near term increased emission reduction targets. https://t.co/rVUWwruBIU,3
44,44,Malcolm Turnbull 💉💉,2021-10-16 02:32:10+00:00,A reminder of how recklessly misconceived was the decision to dump the Attack class programme. Australia’s security sacrificed for a press conference. https://t.co/1oraGjo3kq,2
45,45,Malcolm Turnbull 💉💉,2021-10-16 01:42:59+00:00,"RT @HGACinema: Happy 96th Birthday to Dame Angela Lansbury.

Born: 16th October, 1925 in Regent's Park, London, England, UK.

Photo | Dame…",1
46,46,Malcolm Turnbull 💉💉,2021-10-16 01:42:56+00:00,@HGACinema @latimes @_AngelaLansbury Happy Birthday! Lots of love from your Sydney family.,1
47,47,Malcolm Turnbull 💉💉,2021-10-15 11:54:20+00:00,RT @mjrowland68: This is quite the column by @latingle…,11
48,48,Malcolm Turnbull 💉💉,2021-10-15 10:36:49+00:00,"RT @energynetworks: Join former Australian Prime Minister @turnbullmalcolm, international climate expert @FarhanaClimate and more in #Glasg…",10
49,49,Malcolm Turnbull 💉💉,2021-10-15 08:32:01+00:00,"RT @WarOnTheRocks: ""The hyperbole around the new Australia-UK-US (AUKUS) partnership has been dialed up to 11."" https://t.co/HUQOvyL5y9",8
50,50,Malcolm Turnbull 💉💉,2021-10-15 05:23:29+00:00,Australia’s ageing submarine fleet could still be operating in 2050s while waiting for nuclear boats https://t.co/DZPNMWIGwL,5
51,51,Malcolm Turnbull 💉💉,2021-10-14 05:02:42+00:00,Andrew Forrest urges Scott Morrison to commit to net zero even if it means splitting Coalition https://t.co/ehIskk3GWm,5
52,52,Malcolm Turnbull 💉💉,2021-10-14 02:47:14+00:00,RT @FortescueFuture: This morning our founder Dr Andrew Forrest AO spoke with @kochie_online from @sunriseon7 about how Australia will beco…,2
53,53,Malcolm Turnbull 💉💉,2021-10-14 00:05:39+00:00,Very well deserved accolade for Tony Smith by Niki Savva “Speaker who restored respect to the House will leave a gaping hole” https://t.co/7HQOtszO3F,0
54,54,Malcolm Turnbull 💉💉,2021-10-13 23:54:51+00:00,"RT @SmartEnergyCncl: Renewable #hydrogen is key to net zero, creating new jobs &amp; export opportunities.

Hear from policy makers, industry,…",23
55,55,Malcolm Turnbull 💉💉,2021-10-13 21:23:44+00:00,RT @PaulBongiorno: Listening to Twiggy Forrest on @rnbreakfast debunk the lie of clean hydrogen and spruik the benefits of green hydrogen i…,21
56,56,Malcolm Turnbull 💉💉,2021-10-13 21:06:58+00:00,@DAlperovitch @alperovitch @SAISHopkins @RidT Congratulations! Great initiative!,21
57,57,Malcolm Turnbull 💉💉,2021-10-13 21:06:37+00:00,RT @DAlperovitch: Thrilled to announce the official launch of the @Alperovitch Institute for Cybersecurity Studies @SAISHopkins led by the…,21
58,58,Malcolm Turnbull 💉💉,2021-10-13 20:48:27+00:00,"RT @FortescueFuture: As #COP26 approaches, misinformation needs to stop. #FossilFuel companies may have changed their colours, but not thei…",20
59,59,Malcolm Turnbull 💉💉,2021-10-13 20:48:16+00:00,RT @FortescueFuture: What role will #GreenHydrogen play in Australia's #NetZero future? Our founder Dr Andrew Forrest AO caught up with @Ki…,20
60,60,Malcolm Turnbull 💉💉,2021-10-13 20:47:43+00:00,"RT @fbirol: #WEO2021 is out!

Before a crucial #COP26, it shows that while climate ambitions have never been higher, energy transitions hav…",20
61,61,Malcolm Turnbull 💉💉,2021-10-13 20:42:14+00:00,"RT @RNBreakfast: Fortescue Metals Chairman Andrew Forrest has announced investments in green hydrogen.

""It's a market we'll compete with,…",20
62,62,Malcolm Turnbull 💉💉,2021-10-13 20:41:56+00:00,"RT @climatecouncil: “My passion is to make green, manufacturing jobs right here [in Australia].” - Andrew ""Twiggy"" Forrest on his plans for…",20
63,63,Malcolm Turnbull 💉💉,2021-10-12 22:43:30+00:00,"RT @SmartEnergyCncl: The world's watching. Our climate policy matters.

The Opening Session of #RacetoZeroSummit 20 Oct matters:
☀️@Turnbul…",22
64,64,Malcolm Turnbull 💉💉,2021-10-12 21:08:20+00:00,@cameronwilson @HonJulieBishop Only slightly slimmer! But more pages! https://t.co/I6bCFbry7F,21
65,65,Malcolm Turnbull 💉💉,2021-10-12 21:03:10+00:00,@NickMGreen @GrogsGamut @abcnews 2015 testimony could have only referred to a notional build of subs in Japan. The French bid was not accepted until April 2016.,21
66,66,Malcolm Turnbull 💉💉,2021-10-12 20:47:08+00:00,"The second, paperback, edition of my memoir #abiggerpicture is on sale today - with a new foreword. Thanks Julie for the cover quote! @honjuliebishop @hardiegrantbooks https://t.co/QwpizSUqeL… https://t.co/jW3rdVbimY",20
67,67,Malcolm Turnbull 💉💉,2021-10-12 20:45:58+00:00,"The second, paperback, edition of my memoir #abiggerpicture is on sale today - with a new foreword. Thanks Julie for the cover quote! @honjuliebishop @hardiegrantbooks https://t.co/xRlAdTzOuw",20
68,68,Malcolm Turnbull 💉💉,2021-10-12 20:07:40+00:00,Listening to @abcnews just now - says the French/Australian submarine project cost had “risen to $90 billion” This lie has been debunked so often but apparently it’s easier to just repeat the falsehood. https://t.co/2vAn5TPeFX https://t.co/ukY3r6Epyn,20
69,69,Malcolm Turnbull 💉💉,2021-10-12 03:08:32+00:00,RT @alexbhturnbull: Chinese politics and your heating bill https://t.co/70ff6wdqUj,3
70,70,Malcolm Turnbull 💉💉,2021-10-12 00:43:30+00:00,China singling out Australian coal is a sign of their influence on global energy markets by ⁦@alexbhturnbull⁩  https://t.co/o1sM3RR3ar,0
71,71,Malcolm Turnbull 💉💉,2021-10-12 00:38:13+00:00,@ChristineMilne @SmartEnergyCncl Absolutely! Proud to be involved in all of them!,0
72,72,Malcolm Turnbull 💉💉,2021-10-11 08:45:24+00:00,"RT @franceinfo: Le nouvel album d'Astérix, ""Astérix et le Griffon"", sortira le 21 octobre

https://t.co/7vPJa0E6bU https://t.co/wxKmsMlHDQ",8
